id,cargoType,cargoDescription,originSido,originSigungu,destinationSido,destinationSigungu,weightTon,offeredFareKrw,loadingAt,unloadingAt,status
freight-117,REFRIGERATED,신선채소-03,경기도,평택시,부산광역시,사상구,5.5,440000,2026-08-19T13:00:00+09:00,2026-08-19T20:00:00+09:00,PENDING
freight-118,GENERAL,자동차부품-03,대전광역시,유성구,경기도,수원시,4.5,320000,2026-08-20T14:00:00+09:00,2026-08-20T22:00:00+09:00,PENDING
freight-119,GENERAL,산업자재-03,울산광역시,남구,대구광역시,달서구,3.5,260000,2026-08-21T04:00:00+09:00,2026-08-21T13:00:00+09:00,PENDING
freight-120,REFRIGERATED,과일-03,대구광역시,달서구,경상북도,포항시,2.5,260000,2026-08-22T05:00:00+09:00,2026-08-22T07:00:00+09:00,PENDING
freight-121,GENERAL,택배상자-03,경상남도,창원시,부산광역시,강서구,4.5,250000,2026-08-13T06:00:00+09:00,2026-08-13T09:00:00+09:00,PENDING
freight-122,FROZEN,냉동만두-03,강원특별자치도,원주시,서울특별시,강남구,3,390000,2026-08-14T07:00:00+09:00,2026-08-14T11:00:00+09:00,PENDING
freight-123,CONSTRUCTION,시멘트-03,충청북도,청주시,세종특별자치시,세종시,10.5,270000,2026-08-15T08:00:00+09:00,2026-08-15T13:00:00+09:00,PENDING
freight-124,GENERAL,식자재상자-03,충청남도,천안시,서울특별시,송파구,3.5,220000,2026-08-16T09:00:00+09:00,2026-08-16T15:00:00+09:00,PENDING
freight-125,HAZARDOUS,산업용용제-03,인천광역시,중구,울산광역시,남구,8.5,560000,2026-08-17T10:00:00+09:00,2026-08-17T17:00:00+09:00,PENDING
freight-126,GENERAL,가구-03,전라북도,전주시,대전광역시,유성구,4.5,260000,2026-08-18T11:00:00+09:00,2026-08-18T19:00:00+09:00,PENDING
freight-127,GENERAL,농산물상자-03,광주광역시,광산구,전라남도,여수시,5.5,300000,2026-08-19T12:00:00+09:00,2026-08-19T21:00:00+09:00,PENDING
freight-128,GENERAL,포장재-03,전라남도,순천시,광주광역시,북구,2.5,270000,2026-08-20T13:00:00+09:00,2026-08-20T15:00:00+09:00,PENDING
freight-129,GENERAL,가전제품-03,경상북도,구미시,대구광역시,북구,3.5,260000,2026-08-21T14:00:00+09:00,2026-08-21T17:00:00+09:00,PENDING
freight-130,GENERAL,정밀부품-03,세종특별자치시,세종시,충청남도,아산시,3,270000,2026-08-22T04:00:00+09:00,2026-08-22T08:00:00+09:00,PENDING
freight-131,REFRIGERATED,냉장육-03,부산광역시,사상구,경상남도,김해시,2.5,170000,2026-08-13T05:00:00+09:00,2026-08-13T10:00:00+09:00,PENDING
freight-132,GENERAL,의류-03,경기도,고양시,서울특별시,마포구,2,160000,2026-08-14T06:00:00+09:00,2026-08-14T12:00:00+09:00,PENDING
freight-133,REFRIGERATED,신선식품-04,서울특별시,송파구,부산광역시,강서구,4.5,680000,2026-08-15T08:00:00+09:00,2026-08-15T15:00:00+09:00,PENDING
freight-134,GENERAL,생활용품-04,서울특별시,송파구,부산광역시,강서구,4.5,680000,2026-08-16T09:00:00+09:00,2026-08-16T17:00:00+09:00,PENDING
freight-135,GENERAL,전자부품-04,서울특별시,강동구,부산광역시,강서구,3.5,710000,2026-08-17T10:00:00+09:00,2026-08-17T19:00:00+09:00,PENDING
freight-136,FROZEN,냉동수산물-04,서울특별시,강남구,부산광역시,해운대구,3.5,900000,2026-08-18T11:00:00+09:00,2026-08-18T13:00:00+09:00,PENDING
freight-137,GENERAL,포장박스-04,서울특별시,마포구,인천광역시,부평구,0.5,110000,2026-08-19T12:00:00+09:00,2026-08-19T15:00:00+09:00,PENDING
freight-138,GENERAL,기계부품-04,경기도,수원시,서울특별시,송파구,2,270000,2026-08-20T13:00:00+09:00,2026-08-20T17:00:00+09:00,PENDING
freight-139,CONSTRUCTION,철근-04,경기도,화성시,충청남도,당진시,10.5,280000,2026-08-21T14:00:00+09:00,2026-08-21T19:00:00+09:00,PENDING
freight-140,GENERAL,공산품-04,인천광역시,서구,대전광역시,유성구,3,360000,2026-08-22T04:00:00+09:00,2026-08-22T10:00:00+09:00,PENDING
freight-141,REFRIGERATED,신선채소-04,경기도,평택시,부산광역시,사상구,4.5,650000,2026-08-13T05:00:00+09:00,2026-08-13T12:00:00+09:00,PENDING
freight-142,GENERAL,자동차부품-04,대전광역시,유성구,경기도,수원시,3.5,440000,2026-08-14T06:00:00+09:00,2026-08-14T14:00:00+09:00,PENDING
freight-143,GENERAL,산업자재-04,울산광역시,남구,대구광역시,달서구,2.5,350000,2026-08-15T07:00:00+09:00,2026-08-15T16:00:00+09:00,PENDING
freight-144,REFRIGERATED,과일-04,대구광역시,달서구,경상북도,포항시,1.5,190000,2026-08-16T08:00:00+09:00,2026-08-16T10:00:00+09:00,PENDING
freight-145,GENERAL,택배상자-04,경상남도,창원시,부산광역시,강서구,3.5,200000,2026-08-17T09:00:00+09:00,2026-08-17T12:00:00+09:00,PENDING
freight-146,FROZEN,냉동만두-04,강원특별자치도,원주시,서울특별시,강남구,2,310000,2026-08-18T10:00:00+09:00,2026-08-18T14:00:00+09:00,PENDING
freight-147,CONSTRUCTION,시멘트-04,충청북도,청주시,세종특별자치시,세종시,9.5,220000,2026-08-19T11:00:00+09:00,2026-08-19T16:00:00+09:00,PENDING
freight-148,GENERAL,식자재상자-04,충청남도,천안시,서울특별시,송파구,2.5,330000,2026-08-20T12:00:00+09:00,2026-08-20T18:00:00+09:00,PENDING
freight-149,HAZARDOUS,산업용용제-04,인천광역시,중구,울산광역시,남구,7.5,780000,2026-08-21T13:00:00+09:00,2026-08-21T20:00:00+09:00,PENDING
freight-150,GENERAL,가구-04,전라북도,전주시,대전광역시,유성구,3.5,350000,2026-08-22T14:00:00+09:00,2026-08-22T22:00:00+09:00,PENDING
freight-151,GENERAL,농산물상자-04,광주광역시,광산구,전라남도,여수시,4.5,220000,2026-08-13T04:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-152,GENERAL,포장재-04,전라남도,순천시,광주광역시,북구,1.5,210000,2026-08-14T05:00:00+09:00,2026-08-14T07:00:00+09:00,PENDING
freight-153,GENERAL,가전제품-04,경상북도,구미시,대구광역시,북구,2.5,210000,2026-08-15T06:00:00+09:00,2026-08-15T09:00:00+09:00,PENDING
freight-154,GENERAL,정밀부품-04,세종특별자치시,세종시,충청남도,아산시,2,220000,2026-08-16T07:00:00+09:00,2026-08-16T11:00:00+09:00,PENDING
freight-155,REFRIGERATED,냉장육-04,부산광역시,사상구,경상남도,김해시,1.5,250000,2026-08-17T08:00:00+09:00,2026-08-17T13:00:00+09:00,PENDING
freight-156,GENERAL,의류-04,경기도,고양시,서울특별시,마포구,1,220000,2026-08-18T09:00:00+09:00,2026-08-18T15:00:00+09:00,PENDING
freight-157,REFRIGERATED,신선식품-05,서울특별시,송파구,부산광역시,강서구,5,490000,2026-08-19T11:00:00+09:00,2026-08-19T18:00:00+09:00,PENDING
freight-158,GENERAL,생활용품-05,서울특별시,송파구,부산광역시,강서구,5,530000,2026-08-20T12:00:00+09:00,2026-08-20T20:00:00+09:00,PENDING
freight-159,GENERAL,전자부품-05,서울특별시,강동구,부산광역시,강서구,4,570000,2026-08-21T13:00:00+09:00,2026-08-21T22:00:00+09:00,PENDING
freight-160,FROZEN,냉동수산물-05,서울특별시,강남구,부산광역시,해운대구,4,710000,2026-08-22T14:00:00+09:00,2026-08-22T16:00:00+09:00,PENDING
freight-161,GENERAL,포장박스-05,서울특별시,마포구,인천광역시,부평구,1,160000,2026-08-13T04:00:00+09:00,2026-08-13T07:00:00+09:00,PENDING
freight-162,GENERAL,기계부품-05,경기도,수원시,서울특별시,송파구,2.5,380000,2026-08-14T05:00:00+09:00,2026-08-14T09:00:00+09:00,PENDING
freight-163,CONSTRUCTION,철근-05,경기도,화성시,충청남도,당진시,11,380000,2026-08-15T06:00:00+09:00,2026-08-15T11:00:00+09:00,PENDING
freight-164,GENERAL,공산품-05,인천광역시,서구,대전광역시,유성구,3.5,260000,2026-08-16T07:00:00+09:00,2026-08-16T13:00:00+09:00,PENDING
freight-165,REFRIGERATED,신선채소-05,경기도,평택시,부산광역시,사상구,5,510000,2026-08-17T08:00:00+09:00,2026-08-17T15:00:00+09:00,PENDING
freight-166,GENERAL,자동차부품-05,대전광역시,유성구,경기도,수원시,4,350000,2026-08-18T09:00:00+09:00,2026-08-18T17:00:00+09:00,PENDING
freight-167,GENERAL,산업자재-05,울산광역시,남구,대구광역시,달서구,3,280000,2026-08-19T10:00:00+09:00,2026-08-19T19:00:00+09:00,PENDING
freight-168,REFRIGERATED,과일-05,대구광역시,달서구,경상북도,포항시,2,280000,2026-08-20T11:00:00+09:00,2026-08-20T13:00:00+09:00,PENDING
